year,month,year_month,gender,usertype,age,number_trips,tripduration
2015,10,2015-10,1,Subscriber,29,270,167328
2015,10,2015-10,1,Subscriber,30,322,550191
2015,10,2015-10,1,Subscriber,31,427,235124
2015,10,2015-10,1,Subscriber,32,414,228714
2015,10,2015-10,1,Subscriber,33,339,219049
2015,10,2015-10,1,Subscriber,34,555,311484
2015,10,2015-10,1,Subscriber,35,605,451334
2015,10,2015-10,1,Subscriber,36,739,506085
2015,10,2015-10,1,Subscriber,37,647,371847
2015,10,2015-10,1,Subscriber,38,553,370602
2015,10,2015-10,1,Subscriber,39,691,343465
2015,10,2015-10,1,Subscriber,40,868,494787
2015,10,2015-10,1,Subscriber,41,488,311655
2015,10,2015-10,1,Subscriber,42,350,211880
2015,10,2015-10,1,Subscriber,43,483,287366
2015,10,2015-10,1,Subscriber,44,774,527161
2015,10,2015-10,1,Subscriber,45,257,212968
2015,10,2015-10,1,Subscriber,46,156,101143
2015,10,2015-10,1,Subscriber,47,182,86760
2015,10,2015-10,1,Subscriber,48,377,175625
2015,10,2015-10,1,Subscriber,49,148,81365
2015,10,2015-10,1,Subscriber,50,449,270811
2015,10,2015-10,1,Subscriber,51,189,197187
2015,10,2015-10,1,Subscriber,52,290,208229
2015,10,2015-10,1,Subscriber,53,138,102214
2015,10,2015-10,1,Subscriber,54,77,79505
2015,10,2015-10,1,Subscriber,55,143,141552
2015,10,2015-10,1,Subscriber,56,114,56376
2015,10,2015-10,1,Subscriber,57,241,194674
2015,10,2015-10,1,Subscriber,58,156,81420
2015,10,2015-10,1,Subscriber,59,47,29118
2015,10,2015-10,1,Subscriber,60,275,205687
2015,10,2015-10,1,Subscriber,61,22,25356
2015,10,2015-10,1,Subscriber,62,16,12376
2015,10,2015-10,1,Subscriber,63,38,25641
2015,10,2015-10,1,Subscriber,64,135,155075
2015,10,2015-10,1,Subscriber,65,21,51144
2015,10,2015-10,1,Subscriber,66,125,76220
2015,10,2015-10,1,Subscriber,67,7,5802
2015,10,2015-10,1,Subscriber,68,29,24084
2015,10,2015-10,1,Subscriber,69,38,35348
